,,Huck Huck Goose vs Game of Throws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1st half,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,2nd half,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,Score,19,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pull,Erik Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Chris Tran,Pass,Jeff Hunt,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Amos Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Tanya Gallant,Pass,Amos Lee,Pass,Jay Thor Turner,Pass,Clare Gee,Pass,Nick Theriault,Pass,Amos Lee,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Steve Chow,Pass,Stephanie White,Pass,Chris Tran,Pass,Justine Price,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Clare Gee,Pass,Amos Lee,Pass,Nick Theriault,Pass,Erik Burton,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Stephanie White,Pass,Nick Vetvut,Pass,Jeff Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Matthew Smith,Pass,Greg Probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Justine Price,Pass,Jeff Hunt,Pass,Stephanie White,Pass,Steve Chow,Pass,Justine Price,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Nick Theriault,Pass,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Kevin Hughes,Pass,Justine Price,Pass,Nick Vetvut,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Matthew Smith,Pass,Tanya Gallant,Pass,Amos Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Jeff Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Jeff Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Matthew Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Tanya Gallant,Pass,Amos Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Jeff Hunt,Pass,Steve Chow,Pass,Chris Tran,Pass,Justine Price,Pass,Steve Chow,Pass,Jeff Hunt,Pass,Justine Price,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Neena Sidhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Greg Probe,Pass,Geoff Liu,Pass,Nick Theriault,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Justine Price,Pass,Steve Chow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Erik Burton,Pass,Nick Theriault,Pass,Erik Burton,Pass,Neena Sidhu,Pass,Geoff Liu,Pass,Greg Probe,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Edwin Wong,Pass,Justine Price,Pass,Steve Chow,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Neena Sidhu,Pass,Megan Berry,Pass,Matthew Smith,Pass,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Nick Vetvut,Pass,Jeff Hunt,Pass,Melissa Martel,Pass,Nick Vetvut,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Nick Theriault,Pass,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Jeff Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Nick Vetvut,Pass,Kevin Hughes,Pass,Nick Vetvut,Pass,Jeff Hunt,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Greg Probe,Pass,Erik Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Sebastien Belanger,Pass,Steve Chow,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Matthew Smith,Pass,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
