,"Karma Down Under, vs Kindha's Disappointments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1st half,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,2nd half,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,Score,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pull,Al Colantonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Andrew W Cameron,Pass,Shubho Bo Biswas,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Will Leckie,Pass,Matt Masse,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Carissa Wong,Pass,Christian Hamel,Pass,Carissa Wong,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Mark Donahue,Pass,Al Colantonio,Pass,Sandra Hanson,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Graham Brown,Pass,Shubho Bo Biswas,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Sandra Hanson,Pass,Mark Donahue,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Amelia Keenan,Pass,Carissa Wong,Pass,Christian Hamel,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Celine Dumais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Christopher Vickers,Pass,Will Leckie,Pass,James King,Pass,Christopher Vickers,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Jean Surette,Pass,Christian Hamel,Pass,Douglas Brierley,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Mark Donahue,Pass,Al Colantonio,Pass,Will Leckie,Pass,Al Colantonio,Pass,Matt Masse,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Mehmet Karman,Pass,Douglas Brierley,Pass,Amelia Keenan,Pass,Carissa Wong,Pass,Douglas Brierley,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Christopher Kraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Christopher Kraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,
