Pirate Rob's Swashbuckling Rogues,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karma Down Under,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Hope Celani,D+,Lissa Greenspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Wynne Gee,D+,Melissa Jess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Andrea Proulx,Pass,Kris Bergmann,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Graham Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Graham Brown,Pass,Greg Cormier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Dan Thomson,D+,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Kris Bergmann,D+,Graham Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Mehmet Karman,D+,Greg Cormier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Trevor Stocki,D+,Krys Kudakiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Alison Ward,D+,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Andrea Proulx,D+,Melissa Jess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Hope Celani,Pass,Mark Donahue,Pass,Patrick Kenzie,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Alec Clark,D-,Brent Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Mark Donahue,D-,Christopher Keates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Patrick Kenzie,D-,Krys Kudakiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Stephen Close,D-,Rob Ives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Hope Celani,D-,Lissa Greenspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Wynne Gee,D-,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Greg Cormier,Pass,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Dan Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Dan Thomson,Pass,Mehmet Karman,Pass,Trevor Stocki,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Brent Burton,D+,Dan Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Chris Sullivan,D+,Kris Bergmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Graham Brown,D+,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Greg Cormier,D+,Trevor Stocki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Lissa Greenspoon,D+,Alison Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Melissa Jess,D+,Andrea Proulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Graham Brown,Pass,Krys Kudakiewicz,Pass,Christopher Keates,Pass,Rob Ives,Pass,Graham Brown,Pass,Krys Kudakiewicz,Pass,Megan Berry,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Mark Donahue,Pass,Stephen Close,Pass,Wynne Gee,Pass,Patrick Kenzie,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Christopher Keates,D+,Alec Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Graham Brown,D+,Mark Donahue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Krys Kudakiewicz,D+,Patrick Kenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Rob Ives,D+,Stephen Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Megan Berry,D+,Hope Celani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Melissa Jess,D+,Wynne Gee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Lissa Greenspoon,Pass,Chris Sullivan,Pass,Christopher Keates,Pass,Megan Berry,Pass,Chris Sullivan,Pass,Lissa Greenspoon,Pass,Brent Burton,Pass,Greg Cormier,,,,,,,,,,,,,,,,
,O+,Brent Burton,D-,Dan Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Chris Sullivan,D-,Kris Bergmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Christopher Keates,D-,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Greg Cormier,D-,Trevor Stocki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Lissa Greenspoon,D-,Alison Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Megan Berry,D-,Andrea Proulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Mark Donahue,Pass,Patrick Kenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Drop,Graham Brown,Pass,Krys Kudakiewicz,Pass,Chris Sullivan,Pass,Rob Ives,Pass,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Mark Donahue,Pass,Wynne Gee,Pass,Patrick Kenzie,Pass,Stephen Close,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Alec Clark,D-,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Mark Donahue,D-,Graham Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Patrick Kenzie,D-,Krys Kudakiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Stephen Close,D-,Rob Ives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Hope Celani,D-,Lissa Greenspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Wynne Gee,D-,Melissa Jess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Rob Ives,Pass,Christopher Keates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Andrea Proulx,Pass,Alison Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Christopher Keates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Megan Berry,Pass,Christopher Keates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Brent Burton,D-,Dan Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Christopher Keates,D-,Kris Bergmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Greg Cormier,D-,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Rob Ives,D-,Trevor Stocki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Megan Berry,D-,Alison Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Melissa Jess,D-,Andrea Proulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Hope Celani,Pass,Alec Clark,Pass,Patrick Kenzie,Pass,Mark Donahue,Pass,Stephen Close,Pass,Wynne Gee,,,,,,,,,,,,,,,,,,,,
,D,Krys Kudakiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Chris Sullivan,Pass,Lissa Greenspoon,Pass,Graham Brown,Pass,Megan Berry,Pass,Brent Burton,,,,,,,,,,,,,,,,,,,,,,
,D,Wynne Gee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Alec Clark,Pass,Patrick Kenzie,Pass,Wynne Gee,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Alec Clark,D-,Brent Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Mark Donahue,D-,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Patrick Kenzie,D-,Graham Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Stephen Close,D-,Krys Kudakiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
