Ignominious,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katy Parity,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pull,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Brian Kells,Pass,Olesia Bissett,Pass,Marc Vachon,Pass,Owen Lumley,Pass,Olesia Bissett,Pass,Marc Vachon,Pass,Kindha Gorman,Pass,Owen Lumley,,,,,,,,,,,,
,O+,Brian Kells,D-,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Graham Brown,D-,Krys Kudakiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Owen Lumley,D-,Nick Theriault,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Kindha Gorman,D-,Trevor Stocki,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Olesia Bissett,D-,CarolAnne Black,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Marc Vachon,D-,Laura Knowles,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Drop,Stacey Wowchuk,Pass,Matthew Kerr,Pass,Al Colantonio,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Kindha Gorman,Pass,Jonathan Champagne,Pass,Kindha Gorman,Pass,Khalid Al-Zahrani,Pass,Jonathan Champagne,Pass,Steve Bisang,Pass,Khalid Al-Zahrani,Pass,Kindha Gorman,,,,,,,,,,,,
,O-,Al Colantonio,D+,Jonathan Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Allan Godding,D+,Khalid Al-Zahrani,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Matthew Kerr,D+,Stephen Close,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Tim Kealey,D+,Steve Bisang,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Laura Knowles,D+,Kindha Gorman,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Stacey Wowchuk,D+,Olesia Bissett,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Drop,Krys Kudakiewicz,Pass,Trevor Stocki,Pass,Chris Sullivan,Pass,Krys Kudakiewicz,Pass,Nick Theriault,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Brian Kells,Pass,Owen Lumley,Pass,Olesia Bissett,Pass,Graham Brown,Pass,Owen Lumley,,,,,,,,,,,,,,,,,,
,O-,Chris Sullivan,D+,Brian Kells,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Krys Kudakiewicz,D+,Graham Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Nick Theriault,D+,Owen Lumley,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Trevor Stocki,D+,Kindha Gorman,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,CarolAnne Black,D+,Olesia Bissett,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Stacey Wowchuk,D+,Marc Vachon,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Drop,Allan Godding,Pass,Matthew Kerr,Pass,Al Colantonio,Pass,Tim Kealey,Pass,Al Colantonio,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Drop,Olesia Bissett,Pass,Steve Bisang,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Matthew Kerr,Pass,Al Colantonio,Pass,Allan Godding,Pass,Tim Kealey,,,,,,,,,,,,,,,,,,,,
,O+,Al Colantonio,D-,Jonathan Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Allan Godding,D-,Khalid Al-Zahrani,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Matthew Kerr,D-,Stephen Close,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Tim Kealey,D-,Steve Bisang,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,CarolAnne Black,D-,Kirsten Querbach,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Laura Knowles,D-,Olesia Bissett,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Kindha Gorman,Pass,Marc Vachon,Pass,Graham Brown,Pass,Owen Lumley,Pass,Brian Kells,Pass,Kindha Gorman,Pass,Graham Brown,Pass,Marc Vachon,Pass,Owen Lumley,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Stacey Wowchuk,Pass,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Owen Lumley,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Krys Kudakiewicz,Pass,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Brian Kells,D+,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Graham Brown,D+,Krys Kudakiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Owen Lumley,D+,Nick Theriault,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Kindha Gorman,D+,Trevor Stocki,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Kirsten Querbach,D+,Laura Knowles,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Marc Vachon,D+,Stacey Wowchuk,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Olesia Bissett,Pass,Jonathan Champagne,Pass,Kindha Gorman,Pass,Steve Bisang,Pass,Khalid Al-Zahrani,Pass,Kindha Gorman,,,,,,,,,,,,,,,,
,O+,Jonathan Champagne,D-,Al Colantonio,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Khalid Al-Zahrani,D-,Allan Godding,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Stephen Close,D-,Matthew Kerr,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Steve Bisang,D-,Tim Kealey,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Kindha Gorman,D-,CarolAnne Black,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Olesia Bissett,D-,Stacey Wowchuk,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Nick Theriault,Pass,Krys Kudakiewicz,Pass,Nick Theriault,,,,,,,,,,,,,,,,,,,,,,
,O+,Chris Sullivan,D-,Brian Kells,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Krys Kudakiewicz,D-,Graham Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Nick Theriault,D-,Owen Lumley,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Trevor Stocki,D-,Kirsten Querbach,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,CarolAnne Black,D-,Olesia Bissett,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Laura Knowles,D-,Marc Vachon,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Khalid Al-Zahrani,Pass,Jonathan Champagne,Pass,Steve Bisang,Pass,Khalid Al-Zahrani,Pass,Kindha Gorman,Pass,Kirsten Querbach,Pass,Stephen Close,Pass,Khalid Al-Zahrani,Pass,Kirsten Querbach,Pass,Stephen Close,,,,,,,,
,Direction,<<<<<<,Drop,Matthew Kerr,Pass,Allan Godding,Pass,Tim Kealey,,,,,,,,,,,,,,,,,,,,,,
